DN Part ID,PG Product Group,Product Family,Product Group,Product Subgroup,Product Description
213,PG3,Electronics,Body Electronics Products,Body Electronics,RKE Antenna
214,PG3,Electronics,Body Electronics Products,Body Electronics,RKE Buzzer
215,PG3,Electronics,Body Electronics Products,Body Electronics,RKE ECU
216,PG3,Electronics,Body Electronics Products,Body Electronics,RKE Fob
217,PG2,Body,Body Components,Washer,Fluid Level Sensor
218,PG2,Body,Body Components,Washer,Washer Hose
219,PG2,Body,Body Components,Washer,Washer Misc
220,PG2,Body,Body Components,Washer,Washer Nozzle
221,PG2,Body,Body Components,Washer,Washer Pump
222,PG2,Body,Body Components,Washer,Washer Tank
223,PG2,Body,Body Components,Wiper,Wiper Arm
224,PG2,Body,Body Components,Wiper,Wiper Blade
225,PG2,Body,Body Components,Wiper,Linkage
226,PG2,Body,Body Components,Wiper,Wiper Motor
227,PG2,Body,Body Components,Wiper,Rear Arm
228,PG2,Body,Body Components,Wiper,Rear Wiper Motor
229,PG2,Body,Body Components,Wiper,Wiper Rubber
230,PG2,Body,Body Components,Body Electronics,Power Liftgate Motor
231,PG2,Body,Body Components,Body Electronics,Power Window Motor
232,PG3,Body,Body Electronics Products,Body Electronics,Horn
233,PG2,Powertrain,Engine Components,Fuel Delivery,Fuel Pump (LP)
234,PG2,Powertrain,Engine Components,Common Rail,CRS Fuel Pressure Regulator
239,Unknown,Unknown,Unknown,Unknown,Unknown
240,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Radiator Fan Blade
241,PG2,Powertrain,Engine Components,Fuel Injection,Fuel Injector
242,PG2,Powertrain,Engine Components,Air Intake,Vacuum Switching Valve
243,PG2,Powertrain,Engine Components,Fuel Injection,GDI Pump
244,PG3,Electronics,Body Electronics Components,Safety Systems,Millimeter Wave Radar
245,PG3,Electronics,Body Electronics Components,Safety Systems,Blind Spot Radar
246,PG3,Electronics,Body Electronics Components,Body Electronics,Wireless Charger
247,PG3,Electronics,Body Electronics Components,Body Electronics,Multi Info Display
248,PG3,Electronics,Body Electronics Components,Safety Systems,Forward Camera
249,PG3,Electronics,Body Electronics Components,Body Electronics,RKE Receiver
250,PG3,Electronics,Body Electronics Components,Body Electronics,Relay
251,PG2,Powertrain,Engine Components,Air Intake,Intake Actuator
252,PG2,Powertrain,Engine Components,Oil management,Oil Filter Assembly
253,PG3,Electronics,Body Electronics Components,Body Electronics,TPMS Receiver
254,PG3,Electronics,Body Electronics Components,Body Electronics,TPMS ECU
255,PG2,Powertrain,Engine Components,Air Intake,Intake Manifold Gasket
256,PG1,Body,Body Components,Body Electronics,Seat Blower
257,PG1,Thermal,Climate Control Components,HVAC,Solar Sensor
258,PG1,Thermal,Climate Control Components,HVAC,Rear Case
259,PG3,Electronics,Body Electronics Components,Safety Systems,Driving Support ECU
260,PG2,Body,Body Components,Wiper,Wiper Arm Cap
261,PG2,Powertrain,Engine Components,Fuel Injection,Fuel Injector O-Ring
262,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Radiator Fan Resistor
263,PG3,Electronics,Body Electronics Products,Body Electronics,RKE Module
264,PG3,Electronics,Body Electronics Products,Body Electronics,"GB BCM - Don't use, keep generic names (Body ECU)"
265,PG3,Powertrain,Body Components,Engine Electronic Control,Accelerator Pedal
266,PG2,Powertrain,Engine Components,Air Intake,Intake Manifold
267,PG3,Powertrain,Body Components,Engine Electronic Control,Fuel Pump ECU
268,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Condenser Modulator Plug
269,PG2,Powertrain,Engine Components,Engine Electronic Control,Hybrid ECU
270,PG2,Powertrain,Engine Components,Fuel Delivery,Fuel Pressure Regulator
271,PG2,Powertrain,Engine Components,Electrified Systems,Alternator Pulley
272,PG3,Electronics,Body Electronics Components,Body Electronics,Flasher Relay
273,PG2,Powertrain,Engine Components,Fuel Injection,Fuel Rail
274,PG2,Powertrain,Engine Components,Fuel Injection,Fuel Pressure Sensor
275,PG3,Electronics,Body Electronics Products,Cockpit,Navigation ECU
276,PG3,Electronics,Body Electronics Products,Cockpit,Navigation Display
277,PG1,Thermal,Climate Control Components,HVAC,Blower Motor (Rear)
278,PG2,Powertrain,Engine Components,Air Intake,EGR Valve
279,PG1,Thermal,Climate Control Components,A/C,Oil
280,PG3,Electronics,Body Electronics Components,Cockpit,Infotainment Control Unit
281,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Engine Cooling Module
282,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Low Temp Radiator
283,Unknown,Unknown,Unknown,Unknown,Non DN Part
284,PG1,Thermal,Climate Control Components,A/C,Info Label
285,PG1,Thermal,Climate Control Components,Compressor,Stator
286,PG3,Electronics,Body Electronics Components,Body Electronics,BT Low Energy Module (BLEM)
287,PG3,Electronics,Body Electronics Components,Body Electronics,BT Low Energy Antenna Module (BLEAM)
288,PG3,Electronics,Body Electronics Products,Body Electronics,ELM
289,PG1,Thermal,Climate Control Components,HVAC,Cabin Air Filter Door
290,PG2,Powertrain,Engine Components,Fuel Delivery,ORVR Valve
291,PG1,Thermal,Climate Control Components,A/C,Compressor Bracket
292,PG2,Body,Body Components,Wiper,Rear Wiper Grommet
293,PG2,Body,Body Components,Wiper,Rear Wiper Pull Handle
294,PG3,Electronics,Body Electronics Components,Cockpit,Navigation Button
295,PG1,Thermal,Climate Control Components,Plumbing,Refrigerant Liquid Line
296,PG3,Electronics,Body Electronics Components,Body Electronics,ELM
297,PG3,Electronics,Body Electronics Components,Body Electronics,Gateway ECU
298,PG2,Powertrain,Engine Components,Fuel Delivery,Evap Canister Vent Shut Valve
299,PG2,Powertrain,Drivetrain Components,Transmission,Valve Body Assembly
300,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Condenser Pipe
301,PG1,Thermal,Climate Control Components,Plumbing,Internal Heat Exchanger Pipe
302,PG1,Thermal,Climate Control Components,HVAC,Blower Case
303,PG2,Powertrain,Engine Components,Fuel Delivery,Honda 2W Fuel Pump
304,PG3,Electronics,Body Electronics Products,Body Electronics,Meter Knob
305,PG2,Powertrain,Engine Components,Electrified Systems,DC DC Converter
306,PG2,Powertrain,Engine Components,Exhaust Emission Control,Wastegate Actuator
307,PG3,Electronics,Body Electronics Components,Body Electronics,Digital Key ECU
308,PG3,Electronics,Body Electronics Products,Steering,EPS ECU
309,PG3,Electronics,Body Electronics Products,Body Electronics,Battery ECU
310,PG2,Powertrain,Engine Components,Fuel Delivery,Vapor Pressure Sensor
311,PG3,Electronics,Body Electronics Components,Body Electronics,EPS ECU
312,PG2,Drivetrain,Drivetrain Components,Transmission,Rear Diff Solenoid L
313,PG2,Drivetrain,Drivetrain Components,Transmission,Rear Diff Solenoid R
314,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Intercooler
315,PG3,Body,Body Electronics Components,Body Electronics,Rain Sensor
